post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,129,38,radeeyate,2026-04-14 21:24:09,0.2923076923076923,False
47724352,Filing the corners off my MacBooks,entertainment,1398,672,normanvalentine,2026-04-14 21:24:10,0.48034310221586846,True
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,12,1,cebert,2026-04-14 21:24:11,0.07692307692307693,False
47757552,Show HN: Continual Learning with .md,entertainment,30,27,wenhan_zhou,2026-04-14 21:24:14,0.8709677419354839,False
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 21:24:22,0.0,False
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 21:24:28,0.21604938271604937,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-14 21:24:29,0.44398340248962653,True
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 21:24:44,0.24281150159744408,True
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,34,4,joe_mamba,2026-04-14 21:24:51,0.11428571428571428,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 21:24:58,0.6287015945330297,True
47698111,Bevy game development tutorials and in-depth resources,sports,139,71,GenericCanadian,2026-04-14 21:25:01,0.5071428571428571,False
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 21:25:03,0.23529411764705882,True
